timestamp,sensor_type,sensor_id,unit,val_0.1µm,val_0.3µm,val_0.5µm
2025-07-15T09:32:00Z,particle,LPM-008,PPM,801,79,21
2025-07-15T09:32:01Z,particle,LPM-008,PPM,807,81,21
2025-07-15T09:32:02Z,particle,LPM-008,PPM,779,83,21
2025-07-15T09:32:03Z,particle,LPM-008,PPM,776,84,23
2025-07-15T09:32:04Z,particle,LPM-008,PPM,813,84,23
2025-07-15T09:32:05Z,particle,LPM-008,PPM,795,84,21
2025-07-15T09:32:06Z,particle,LPM-008,PPM,826,82,21
2025-07-15T09:32:07Z,particle,LPM-008,PPM,808,80,20
2025-07-15T09:32:08Z,particle,LPM-008,PPM,778,86,19
2025-07-15T09:32:09Z,particle,LPM-008,PPM,741,91,19
2025-07-15T09:32:10Z,particle,LPM-008,PPM,707,95,18
2025-07-15T09:32:11Z,particle,LPM-008,PPM,723,94,17
2025-07-15T09:32:12Z,particle,LPM-008,PPM,713,95,18
2025-07-15T09:32:13Z,particle,LPM-008,PPM,732,90,19
2025-07-15T09:32:14Z,particle,LPM-008,PPM,743,86,18
2025-07-15T09:32:15Z,particle,LPM-008,PPM,755,85,18
2025-07-15T09:32:16Z,particle,LPM-008,PPM,794,80,18
2025-07-15T09:32:17Z,particle,LPM-008,PPM,760,84,17
2025-07-15T09:32:18Z,particle,LPM-008,PPM,778,80,17
2025-07-15T09:32:19Z,particle,LPM-008,PPM,787,78,16
2025-07-15T09:32:20Z,particle,LPM-008,PPM,805,79,18
2025-07-15T09:32:21Z,particle,LPM-008,PPM,796,80,16
2025-07-15T09:32:22Z,particle,LPM-008,PPM,799,85,16
2025-07-15T09:32:23Z,particle,LPM-008,PPM,779,89,16
2025-07-15T09:32:24Z,particle,LPM-008,PPM,795,85,18
2025-07-15T09:32:25Z,particle,LPM-008,PPM,784,80,17
2025-07-15T09:32:26Z,particle,LPM-008,PPM,802,82,17
2025-07-15T09:32:27Z,particle,LPM-008,PPM,803,81,19
2025-07-15T09:32:28Z,particle,LPM-008,PPM,822,82,18
2025-07-15T09:32:29Z,particle,LPM-008,PPM,828,79,17
2025-07-15T09:32:30Z,particle,LPM-008,PPM,836,83,18
2025-07-15T09:32:31Z,particle,LPM-008,PPM,856,81,20
2025-07-15T09:32:32Z,particle,LPM-008,PPM,884,77,20
2025-07-15T09:32:33Z,particle,LPM-008,PPM,868,81,19
2025-07-15T09:32:34Z,particle,LPM-008,PPM,845,77,19
2025-07-15T09:32:35Z,particle,LPM-008,PPM,852,77,19
2025-07-15T09:32:36Z,particle,LPM-008,PPM,841,83,20
2025-07-15T09:32:37Z,particle,LPM-008,PPM,864,82,20
2025-07-15T09:32:38Z,particle,LPM-008,PPM,863,81,20
2025-07-15T09:32:39Z,particle,LPM-008,PPM,829,77,19
2025-07-15T09:32:40Z,particle,LPM-008,PPM,865,81,19
2025-07-15T09:32:41Z,particle,LPM-008,PPM,831,82,20
2025-07-15T09:32:42Z,particle,LPM-008,PPM,808,80,21
2025-07-15T09:32:43Z,particle,LPM-008,PPM,833,77,21
2025-07-15T09:32:44Z,particle,LPM-008,PPM,851,81,22
2025-07-15T09:32:45Z,particle,LPM-008,PPM,840,75,21
2025-07-15T09:32:46Z,particle,LPM-008,PPM,870,72,21
2025-07-15T09:32:47Z,particle,LPM-008,PPM,871,68,22
2025-07-15T09:32:48Z,particle,LPM-008,PPM,849,71,21
2025-07-15T09:32:49Z,particle,LPM-008,PPM,862,76,20
2025-07-15T09:32:50Z,particle,LPM-008,PPM,827,79,21
2025-07-15T09:32:51Z,particle,LPM-008,PPM,853,78,20
2025-07-15T09:32:52Z,particle,LPM-008,PPM,839,81,19
2025-07-15T09:32:53Z,particle,LPM-008,PPM,847,81,19
2025-07-15T09:32:54Z,particle,LPM-008,PPM,851,81,19
2025-07-15T09:32:55Z,particle,LPM-008,PPM,832,81,19
2025-07-15T09:32:56Z,particle,LPM-008,PPM,846,82,20
2025-07-15T09:32:57Z,particle,LPM-008,PPM,875,80,20
2025-07-15T09:32:58Z,particle,LPM-008,PPM,836,76,20
2025-07-15T09:32:59Z,particle,LPM-008,PPM,842,78,21
2025-07-15T09:33:00Z,particle,LPM-008,PPM,844,73,22
2025-07-15T09:33:01Z,particle,LPM-008,PPM,845,68,23
2025-07-15T09:33:02Z,particle,LPM-008,PPM,827,65,22
2025-07-15T09:33:03Z,particle,LPM-008,PPM,827,71,22
2025-07-15T09:33:04Z,particle,LPM-008,PPM,826,69,21
2025-07-15T09:33:05Z,particle,LPM-008,PPM,797,69,22
2025-07-15T09:33:06Z,particle,LPM-008,PPM,827,70,21
2025-07-15T09:33:07Z,particle,LPM-008,PPM,794,66,20
2025-07-15T09:33:08Z,particle,LPM-008,PPM,815,67,20
2025-07-15T09:33:09Z,particle,LPM-008,PPM,778,70,19
2025-07-15T09:33:10Z,particle,LPM-008,PPM,779,75,19
2025-07-15T09:33:11Z,particle,LPM-008,PPM,761,78,19
2025-07-15T09:33:12Z,particle,LPM-008,PPM,778,82,18
2025-07-15T09:33:13Z,particle,LPM-008,PPM,747,83,19
2025-07-15T09:33:14Z,particle,LPM-008,PPM,744,86,18
2025-07-15T09:33:15Z,particle,LPM-008,PPM,748,89,18
2025-07-15T09:33:16Z,particle,LPM-008,PPM,755,85,18
2025-07-15T09:33:17Z,particle,LPM-008,PPM,783,80,19
2025-07-15T09:33:18Z,particle,LPM-008,PPM,784,75,19
2025-07-15T09:33:19Z,particle,LPM-008,PPM,789,78,18
2025-07-15T09:33:20Z,particle,LPM-008,PPM,810,79,18
2025-07-15T09:33:21Z,particle,LPM-008,PPM,774,76,19
2025-07-15T09:33:22Z,particle,LPM-008,PPM,794,72,21
2025-07-15T09:33:23Z,particle,LPM-008,PPM,820,72,19
2025-07-15T09:33:24Z,particle,LPM-008,PPM,812,72,20
2025-07-15T09:33:25Z,particle,LPM-008,PPM,792,71,22
2025-07-15T09:33:26Z,particle,LPM-008,PPM,814,73,22
2025-07-15T09:33:27Z,particle,LPM-008,PPM,815,75,22
2025-07-15T09:33:28Z,particle,LPM-008,PPM,830,69,22
2025-07-15T09:33:29Z,particle,LPM-008,PPM,831,71,22
2025-07-15T09:33:30Z,particle,LPM-008,PPM,793,71,22
2025-07-15T09:33:31Z,particle,LPM-008,PPM,816,70,21
2025-07-15T09:33:32Z,particle,LPM-008,PPM,826,74,22
2025-07-15T09:33:33Z,particle,LPM-008,PPM,809,78,23
2025-07-15T09:33:34Z,particle,LPM-008,PPM,803,73,22
2025-07-15T09:33:35Z,particle,LPM-008,PPM,802,74,24
2025-07-15T09:33:36Z,particle,LPM-008,PPM,803,75,22
2025-07-15T09:33:37Z,particle,LPM-008,PPM,797,70,24
2025-07-15T09:33:38Z,particle,LPM-008,PPM,814,64,24
2025-07-15T09:33:39Z,particle,LPM-008,PPM,789,67,22
2025-07-15T09:33:40Z,particle,LPM-008,PPM,755,71,21
2025-07-15T09:33:41Z,particle,LPM-008,PPM,795,73,20
2025-07-15T09:33:42Z,particle,LPM-008,PPM,806,73,22
2025-07-15T09:33:43Z,particle,LPM-008,PPM,828,77,23
2025-07-15T09:33:44Z,particle,LPM-008,PPM,850,71,22
2025-07-15T09:33:45Z,particle,LPM-008,PPM,849,74,22
2025-07-15T09:33:46Z,particle,LPM-008,PPM,850,75,22
2025-07-15T09:33:47Z,particle,LPM-008,PPM,849,77,20
2025-07-15T09:33:48Z,particle,LPM-008,PPM,851,72,21
2025-07-15T09:33:49Z,particle,LPM-008,PPM,873,69,20
2025-07-15T09:33:50Z,particle,LPM-008,PPM,835,67,20
2025-07-15T09:33:51Z,particle,LPM-008,PPM,836,67,20
2025-07-15T09:33:52Z,particle,LPM-008,PPM,816,62,21
2025-07-15T09:33:53Z,particle,LPM-008,PPM,819,63,22
2025-07-15T09:33:54Z,particle,LPM-008,PPM,837,58,24
2025-07-15T09:33:55Z,particle,LPM-008,PPM,860,59,23
2025-07-15T09:33:56Z,particle,LPM-008,PPM,856,59,22
2025-07-15T09:33:57Z,particle,LPM-008,PPM,873,57,23
2025-07-15T09:33:58Z,particle,LPM-008,PPM,863,57,24
2025-07-15T09:33:59Z,particle,LPM-008,PPM,861,61,24
2025-07-15T09:34:00Z,particle,LPM-008,PPM,831,65,24
2025-07-15T09:34:01Z,particle,LPM-008,PPM,794,64,22
2025-07-15T09:34:02Z,particle,LPM-008,PPM,760,67,23
2025-07-15T09:34:03Z,particle,LPM-008,PPM,778,68,22
2025-07-15T09:34:04Z,particle,LPM-008,PPM,796,70,21
2025-07-15T09:34:05Z,particle,LPM-008,PPM,808,69,22
2025-07-15T09:34:06Z,particle,LPM-008,PPM,776,63,22
2025-07-15T09:34:07Z,particle,LPM-008,PPM,775,66,21
2025-07-15T09:34:08Z,particle,LPM-008,PPM,813,68,20
2025-07-15T09:34:09Z,particle,LPM-008,PPM,839,72,21
2025-07-15T09:34:10Z,particle,LPM-008,PPM,837,76,22
2025-07-15T09:34:11Z,particle,LPM-008,PPM,855,80,23
2025-07-15T09:34:12Z,particle,LPM-008,PPM,827,85,22
2025-07-15T09:34:13Z,particle,LPM-008,PPM,803,85,24
2025-07-15T09:34:14Z,particle,LPM-008,PPM,818,83,22
2025-07-15T09:34:15Z,particle,LPM-008,PPM,807,82,24
2025-07-15T09:34:16Z,particle,LPM-008,PPM,808,77,23
2025-07-15T09:34:17Z,particle,LPM-008,PPM,837,77,22
2025-07-15T09:34:18Z,particle,LPM-008,PPM,831,77,22
2025-07-15T09:34:19Z,particle,LPM-008,PPM,840,79,22
2025-07-15T09:34:20Z,particle,LPM-008,PPM,847,80,22
2025-07-15T09:34:21Z,particle,LPM-008,PPM,871,83,21
2025-07-15T09:34:22Z,particle,LPM-008,PPM,875,82,20
2025-07-15T09:34:23Z,particle,LPM-008,PPM,871,82,21
2025-07-15T09:34:24Z,particle,LPM-008,PPM,846,80,20
2025-07-15T09:34:25Z,particle,LPM-008,PPM,869,79,21
2025-07-15T09:34:26Z,particle,LPM-008,PPM,830,81,21
2025-07-15T09:34:27Z,particle,LPM-008,PPM,856,83,19
2025-07-15T09:34:28Z,particle,LPM-008,PPM,839,82,20
2025-07-15T09:34:29Z,particle,LPM-008,PPM,852,85,20
2025-07-15T09:34:30Z,particle,LPM-008,PPM,826,85,18
2025-07-15T09:34:31Z,particle,LPM-008,PPM,839,82,19
2025-07-15T09:34:32Z,particle,LPM-008,PPM,859,81,20
2025-07-15T09:34:33Z,particle,LPM-008,PPM,832,77,20
2025-07-15T09:34:34Z,particle,LPM-008,PPM,843,82,19
2025-07-15T09:34:35Z,particle,LPM-008,PPM,851,82,19
2025-07-15T09:34:36Z,particle,LPM-008,PPM,869,82,19
2025-07-15T09:34:37Z,particle,LPM-008,PPM,865,86,18
2025-07-15T09:34:38Z,particle,LPM-008,PPM,846,82,19
2025-07-15T09:34:39Z,particle,LPM-008,PPM,860,86,20
2025-07-15T09:34:40Z,particle,LPM-008,PPM,853,81,19
2025-07-15T09:34:41Z,particle,LPM-008,PPM,851,84,19
2025-07-15T09:34:42Z,particle,LPM-008,PPM,813,83,18
2025-07-15T09:34:43Z,particle,LPM-008,PPM,831,85,19
2025-07-15T09:34:44Z,particle,LPM-008,PPM,824,82,19
2025-07-15T09:34:45Z,particle,LPM-008,PPM,840,82,20
2025-07-15T09:34:46Z,particle,LPM-008,PPM,852,83,19
2025-07-15T09:34:47Z,particle,LPM-008,PPM,857,88,21
2025-07-15T09:34:48Z,particle,LPM-008,PPM,844,84,19
2025-07-15T09:34:49Z,particle,LPM-008,PPM,839,87,21
2025-07-15T09:34:50Z,particle,LPM-008,PPM,838,83,21
2025-07-15T09:34:51Z,particle,LPM-008,PPM,851,81,21
2025-07-15T09:34:52Z,particle,LPM-008,PPM,830,78,20
2025-07-15T09:34:53Z,particle,LPM-008,PPM,856,83,21
2025-07-15T09:34:54Z,particle,LPM-008,PPM,839,79,19
2025-07-15T09:34:55Z,particle,LPM-008,PPM,857,80,20
2025-07-15T09:34:56Z,particle,LPM-008,PPM,881,86,21
2025-07-15T09:34:57Z,particle,LPM-008,PPM,870,83,20
2025-07-15T09:34:58Z,particle,LPM-008,PPM,874,81,19
