timestamp,sensor_type,sensor_id,unit,val_0.1µm,val_0.3µm,val_0.5µm
2025-07-15T09:32:00Z,particle,LPM-009,PPM,931,66,29
2025-07-15T09:32:01Z,particle,LPM-009,PPM,891,71,28
2025-07-15T09:32:02Z,particle,LPM-009,PPM,893,71,28
2025-07-15T09:32:03Z,particle,LPM-009,PPM,872,74,26
2025-07-15T09:32:04Z,particle,LPM-009,PPM,851,75,27
2025-07-15T09:32:05Z,particle,LPM-009,PPM,817,79,28
2025-07-15T09:32:06Z,particle,LPM-009,PPM,832,83,28
2025-07-15T09:32:07Z,particle,LPM-009,PPM,833,79,26
2025-07-15T09:32:08Z,particle,LPM-009,PPM,860,79,27
2025-07-15T09:32:09Z,particle,LPM-009,PPM,850,83,26
2025-07-15T09:32:10Z,particle,LPM-009,PPM,862,80,27
2025-07-15T09:32:11Z,particle,LPM-009,PPM,879,76,25
2025-07-15T09:32:12Z,particle,LPM-009,PPM,896,72,26
2025-07-15T09:32:13Z,particle,LPM-009,PPM,903,73,27
2025-07-15T09:32:14Z,particle,LPM-009,PPM,883,77,27
2025-07-15T09:32:15Z,particle,LPM-009,PPM,875,81,28
2025-07-15T09:32:16Z,particle,LPM-009,PPM,868,80,28
2025-07-15T09:32:17Z,particle,LPM-009,PPM,852,75,28
2025-07-15T09:32:18Z,particle,LPM-009,PPM,816,79,26
2025-07-15T09:32:19Z,particle,LPM-009,PPM,818,81,25
2025-07-15T09:32:20Z,particle,LPM-009,PPM,836,81,26
2025-07-15T09:32:21Z,particle,LPM-009,PPM,855,81,25
2025-07-15T09:32:22Z,particle,LPM-009,PPM,879,77,27
2025-07-15T09:32:23Z,particle,LPM-009,PPM,860,76,25
2025-07-15T09:32:24Z,particle,LPM-009,PPM,862,75,26
2025-07-15T09:32:25Z,particle,LPM-009,PPM,854,70,25
2025-07-15T09:32:26Z,particle,LPM-009,PPM,884,75,23
2025-07-15T09:32:27Z,particle,LPM-009,PPM,873,76,22
2025-07-15T09:32:28Z,particle,LPM-009,PPM,883,72,24
2025-07-15T09:32:29Z,particle,LPM-009,PPM,860,75,23
2025-07-15T09:32:30Z,particle,LPM-009,PPM,890,74,24
2025-07-15T09:32:31Z,particle,LPM-009,PPM,882,69,23
2025-07-15T09:32:32Z,particle,LPM-009,PPM,868,72,23
